from_id,to_id,n_scholars,,,,,id,label,cluster
163,11,1157,,BR,US,1157,163,BR,3
179,11,532,,AR,US,532,179,AR,3
67,11,480,,MX,US,480,67,MX,3
3,11,344,,ZA,US,344,3,ZA,7
163,126,297,,BR,GB,297,152,CL,3
163,128,250,,BR,FR,250,7,VE,3
3,126,206,,ZA,GB,206,61,NG,7
152,11,191,,CL,US,191,99,KE,7
163,158,154,,BR,CA,154,149,CO,3
179,132,135,,AR,ES,135,11,US,5
163,142,122,,BR,DE,122,126,GB,2
7,11,111,,VE,US,111,128,FR,2
179,142,110,,AR,DE,110,158,CA,5
179,128,107,,AR,FR,107,132,ES,2
163,103,104,,BR,IT,104,142,DE,2
67,132,101,,MX,ES,101,103,IT,2
61,126,95,,NG,GB,95,177,AU,1
61,11,91,,NG,US,91,100,JP,1
179,103,91,,AR,IT,91,,,
3,142,85,,ZA,DE,85,,,
67,126,84,,MX,GB,84,,,
179,163,80,,AR,BR,80,,,
3,177,75,,ZA,AU,75,,,
179,126,75,,AR,GB,75,,,
99,11,72,,KE,US,72,,,
67,158,71,,MX,CA,71,,,
3,158,69,,ZA,CA,69,,,
149,11,54,,CO,US,54,,,
163,100,54,,BR,JP,54,,,
163,132,53,,BR,ES,53,,,
67,128,52,,MX,FR,52,,,
152,142,51,,CL,DE,51,,,
99,126,50,,KE,GB,50,,,
