from_id,to_id,n_scholars
163,11,3303
67,11,942
163,126,901
163,158,890
163,46,867
163,142,772
163,128,706
61,11,584
149,11,556
163,132,549
61,126,435
179,11,418
3,11,411
67,132,402
3,126,376
61,3,367
149,132,352
163,177,330
163,59,322
152,11,318
163,103,318
163,149,309
179,132,277
152,132,269
136,132,246
3,61,228
163,53,227
163,172,220
149,163,209
123,11,204
163,154,197
67,126,191
67,158,190
67,142,187
152,126,173
163,35,170
53,11,170
179,142,162
99,11,161
1,3,159
163,140,154
131,177,149
67,128,149
61,66,142
131,11,138
163,152,128
67,149,123
149,67,120
152,142,120
12,11,117
3,158,116
3,1,114
61,150,114
163,110,114
61,158,111
3,177,111
179,128,107
163,67,106
149,142,104
123,3,100
149,152,97
163,178,96
3,59,95
3,142,92
36,38,92
149,158,90
136,11,90
61,142,89
123,126,87
152,128,87
163,58,86
99,126,86
179,152,85
179,103,84
163,150,84
53,163,83
61,107,82
163,179,82
131,107,82
12,126,81
179,126,80
179,163,78
149,126,78
123,150,77
131,172,75
3,99,74
3,123,74
65,13,74
163,143,73
179,158,72
149,128,71
131,150,70
152,158,70
163,130,69
67,59,68
53,132,68
30,128,67
125,11,66
67,163,65
151,128,63
99,3,61
123,142,60
152,59,58
163,136,57
3,128,57
7,11,57
67,152,56
123,177,56
148,11,56
163,100,55
152,149,54
152,177,54
67,103,54
163,10,53
131,142,53
163,56,52
3,154,51
