year_collaboration,main_field_id,country_region,n_pub_region,co_country_region,n_pub,prop_coll
2023,1,LAC,25957,SSA,226,0.008706707
2023,2,LAC,66743,SSA,1244,0.018638659
2023,3,LAC,34072,SSA,392,0.011505048
2023,4,LAC,24790,SSA,476,0.019201291
2023,5,LAC,14366,SSA,94,0.006543227
2023,All,LAC,145475,SSA,2092,0.014380478
2022,1,LAC,28741,SSA,194,0.006749939
2022,2,LAC,78066,SSA,1413,0.018100069
2022,3,LAC,37386,SSA,377,0.010083989
2022,4,LAC,27758,SSA,564,0.020318467
2022,5,LAC,16759,SSA,125,0.007458679
2022,All,LAC,165850,SSA,2316,0.013964426
2021,1,LAC,29259,SSA,210,0.007177279
2021,2,LAC,83341,SSA,1484,0.017806362
2021,3,LAC,41582,SSA,389,0.009355009
2021,4,LAC,30505,SSA,549,0.01799705
2021,5,LAC,17933,SSA,130,0.007249205
2021,All,LAC,178046,SSA,2411,0.013541444
2020,1,LAC,25481,SSA,180,0.007064087
2020,2,LAC,81327,SSA,1369,0.016833278
2020,3,LAC,41591,SSA,361,0.008679762
2020,4,LAC,29361,SSA,472,0.016075747
2020,5,LAC,17468,SSA,127,0.007270437
2020,All,LAC,171726,SSA,2196,0.012787813
2019,1,LAC,19638,SSA,109,0.005550463
2019,2,LAC,66602,SSA,925,0.013888472
2019,3,LAC,38152,SSA,306,0.008020549
2019,4,LAC,24546,SSA,403,0.016418154
2019,5,LAC,16464,SSA,78,0.004737609
2019,All,LAC,145475,SSA,1568,0.010778484
2018,1,LAC,18610,SSA,97,0.005212251
2018,2,LAC,64032,SSA,824,0.012868566
2018,3,LAC,35764,SSA,279,0.007801141
2018,4,LAC,23511,SSA,308,0.013100251
2018,5,LAC,15861,SSA,56,0.003530673
2018,All,LAC,139122,SSA,1362,0.009789969
2017,1,LAC,17517,SSA,75,0.004281555
2017,2,LAC,61401,SSA,731,0.011905344
2017,3,LAC,33322,SSA,248,0.00744253
2017,4,LAC,21212,SSA,278,0.013105789
2017,5,LAC,13904,SSA,63,0.00453107
2017,All,LAC,130307,SSA,1251,0.009600405
2016,1,LAC,16067,SSA,85,0.005290347
2016,2,LAC,56674,SSA,687,0.012121961
2016,3,LAC,31529,SSA,207,0.006565384
2016,4,LAC,20391,SSA,261,0.012799765
