year_collaboration,main_field_id,country_region,n_pub_region,co_country_region,n_pub,prop_coll
2023,1,SSA,16101,SSA,2468,0.153282405
2023,2,SSA,33241,SSA,11883,0.35748022
2023,3,SSA,14186,SSA,3869,0.272733681
2023,4,SSA,12974,SSA,3795,0.292508093
2023,5,SSA,5762,SSA,1179,0.204616453
2023,All,SSA,72290,SSA,20494,0.283497026
2022,1,SSA,17023,SSA,2605,0.153028256
2022,2,SSA,38683,SSA,13621,0.352118502
2022,3,SSA,16126,SSA,3926,0.24345777
2022,4,SSA,14854,SSA,4318,0.290696109
2022,5,SSA,6861,SSA,1298,0.18918525
2022,All,SSA,82435,SSA,22858,0.277285134
2021,1,SSA,16354,SSA,2547,0.155741715
2021,2,SSA,38678,SSA,13907,0.359558405
2021,3,SSA,15195,SSA,3955,0.260282988
2021,4,SSA,14460,SSA,4224,0.292116183
2021,5,SSA,6066,SSA,1154,0.190240686
2021,All,SSA,80257,SSA,22991,0.286467224
2020,1,SSA,14336,SSA,2125,0.148228237
2020,2,SSA,37624,SSA,13375,0.355491176
2020,3,SSA,13264,SSA,3472,0.261761158
2020,4,SSA,12714,SSA,3880,0.305175397
2020,5,SSA,5343,SSA,1023,0.191465469
2020,All,SSA,73718,SSA,21296,0.288884669
2019,1,SSA,10863,SSA,1596,0.14692074
2019,2,SSA,27899,SSA,9923,0.355675831
2019,3,SSA,11623,SSA,2952,0.253979179
2019,4,SSA,9893,SSA,3005,0.303750126
2019,5,SSA,4322,SSA,718,0.166126793
2019,All,SSA,57450,SSA,16327,0.284194952
2018,1,SSA,9765,SSA,1421,0.145519713
2018,2,SSA,24301,SSA,8654,0.356117032
2018,3,SSA,9738,SSA,2324,0.238652701
2018,4,SSA,8843,SSA,2640,0.298541219
2018,5,SSA,3573,SSA,632,0.176882172
2018,All,SSA,49984,SSA,14081,0.281710147
2017,1,SSA,9040,SSA,1018,0.112610619
2017,2,SSA,22335,SSA,7976,0.357107679
