year_mobility,region_origin,destination,latitude,longitude,n_mobile
1990,Sub-Saharan Africa,BE,50.75,4.5,4
1990,Sub-Saharan Africa,FJ,-18,178,1
1990,Sub-Saharan Africa,JP,35.68536,139.75309,2
1990,Sub-Saharan Africa,TZ,-6,35,1
1990,Sub-Saharan Africa,UG,1.25,32.5,1
1990,Sub-Saharan Africa,US,39.76,-98.5,65
1991,Sub-Saharan Africa,BE,50.75,4.5,4
1991,Sub-Saharan Africa,JP,35.68536,139.75309,2
1991,Sub-Saharan Africa,KW,29.5,47.75,1
1991,Sub-Saharan Africa,SE,62,15,2
1991,Sub-Saharan Africa,ZW,-19,29.75,1
1992,Sub-Saharan Africa,JP,35.68536,139.75309,1
1992,Sub-Saharan Africa,MY,2.5,112.5,1
1992,Sub-Saharan Africa,NL,52.25,5.75,5
1993,Sub-Saharan Africa,CM,6,12.5,1
1993,Sub-Saharan Africa,GH,8.1,-1.2,2
1993,Sub-Saharan Africa,SN,14.5,-14.25,1
1993,Sub-Saharan Africa,TW,24,121,3
1993,Sub-Saharan Africa,ZW,-19,29.75,3
1994,Sub-Saharan Africa,TR,39,35,1
1994,Sub-Saharan Africa,TT,11,-61,1
1994,Sub-Saharan Africa,TW,24,121,2
1995,Sub-Saharan Africa,GH,8.1,-1.2,1
1995,Sub-Saharan Africa,SA,25,45,1
1996,Sub-Saharan Africa,FI,64,26,1
1996,Sub-Saharan Africa,IE,53,-8,4
1996,Sub-Saharan Africa,NZ,-42,174,3
1997,Sub-Saharan Africa,DE,51.5,10.5,22
1997,Sub-Saharan Africa,FI,64,26,3
1997,Sub-Saharan Africa,IL,31.5,34.75,1
1997,Sub-Saharan Africa,KE,1,38,3
1997,Sub-Saharan Africa,PL,52,20,5
1998,Sub-Saharan Africa,KE,1,38,2
1999,Sub-Saharan Africa,GB,54.75844,-2.69531,56
1999,Sub-Saharan Africa,NO,62,10,5
1999,Sub-Saharan Africa,PT,39.6945,-8.13057,1
1999,Sub-Saharan Africa,TD,15,19,1
1999,Sub-Saharan Africa,UA,49,32,1
2000,Sub-Saharan Africa,AT,47.33333,13.33333,2
2000,Sub-Saharan Africa,BW,-22,24,2
2000,Sub-Saharan Africa,GB,54.75844,-2.69531,69
2000,Sub-Saharan Africa,IN,22,79,3
2000,Sub-Saharan Africa,PL,52,20,1
2000,Sub-Saharan Africa,PT,39.6945,-8.13057,3
2001,Sub-Saharan Africa,AT,47.33333,13.33333,2
2001,Sub-Saharan Africa,BW,-22,24,1
2001,Sub-Saharan Africa,FR,46,2,48
2001,Sub-Saharan Africa,IN,22,79,3
2001,Sub-Saharan Africa,IR,32,53,1
2001,Sub-Saharan Africa,SG,1.36667,103.8,1
2002,Sub-Saharan Africa,AT,47.33333,13.33333,2
