year_mobility,direction,region,sum_mobile,n_mobile,prop_mobile
1990,From LAC,EAP,372,3,0.008064516
1990,From LAC,ECA,372,150,0.403225806
1990,From LAC,LAC,372,22,0.059139785
1990,From LAC,MENA,372,3,0.008064516
1990,From LAC,NA,372,197,0.529569892
1990,From LAC,SSA,372,2,0.005376344
1991,From LAC,EAP,418,9,0.0215311
1991,From LAC,ECA,418,177,0.423444976
1991,From LAC,LAC,418,33,0.078947368
1991,From LAC,MENA,418,6,0.014354067
1991,From LAC,NA,418,205,0.490430622
1992,From LAC,EAP,524,17,0.032442748
1992,From LAC,ECA,524,205,0.391221374
1992,From LAC,LAC,524,37,0.070610687
1992,From LAC,MENA,524,8,0.015267176
1992,From LAC,NA,524,273,0.520992366
1992,From LAC,SA,524,1,0.001908397
1992,From LAC,SSA,524,2,0.003816794
1993,From LAC,EAP,560,22,0.039285714
1993,From LAC,ECA,560,222,0.396428571
1993,From LAC,LAC,560,27,0.048214286
1993,From LAC,MENA,560,5,0.008928571
1993,From LAC,NA,560,293,0.523214286
1993,From LAC,SA,560,3,0.005357143
1993,From LAC,SSA,560,2,0.003571429
1994,From LAC,EAP,607,17,0.02800659
1994,From LAC,ECA,607,277,0.456342669
1994,From LAC,LAC,607,48,0.07907743
1994,From LAC,MENA,607,1,0.001647446
1994,From LAC,NA,607,270,0.444810544
1994,From LAC,SA,607,6,0.009884679
1994,From LAC,SSA,607,1,0.001647446
1995,From LAC,EAP,619,11,0.017770598
1995,From LAC,ECA,619,254,0.410339257
1995,From LAC,LAC,619,62,0.100161551
1995,From LAC,MENA,619,10,0.016155089
1995,From LAC,NA,619,290,0.468497577
1995,From LAC,SA,619,3,0.004846527
1995,From LAC,SSA,619,3,0.004846527
1996,From LAC,EAP,654,16,0.024464832
1996,From LAC,ECA,654,284,0.434250765
1996,From LAC,LAC,654,47,0.071865443
1996,From LAC,MENA,654,5,0.00764526
1996,From LAC,NA,654,321,0.490825688
1996,From LAC,SSA,654,1,0.001529052
1997,From LAC,EAP,792,22,0.027777778
1997,From LAC,ECA,792,336,0.424242424
1997,From LAC,LAC,792,91,0.11489899
1997,From LAC,MENA,792,2,0.002525253
1997,From LAC,NA,792,359,0.453282828
1997,From LAC,SA,792,3,0.003787879
1997,From LAC,SSA,792,1,0.001262626
1998,From LAC,EAP,804,25,0.031094527
1998,From LAC,ECA,804,341,0.424129353
1998,From LAC,LAC,804,76,0.094527363
1998,From LAC,MENA,804,3,0.003731343
1998,From LAC,NA,804,380,0.472636816
1999,From LAC,EAP,889,22,0.024746907
1999,From LAC,ECA,889,350,0.393700787
1999,From LAC,LAC,889,92,0.103487064
1999,From LAC,MENA,889,7,0.007874016
1999,From LAC,NA,889,441,0.496062992
1999,From LAC,SA,889,1,0.001124859
1999,From LAC,SSA,889,6,0.006749156
2000,From LAC,EAP,1122,46,0.040998217
2000,From LAC,ECA,1122,474,0.422459893
2000,From LAC,LAC,1122,117,0.104278075
