year_mobility,direction,region,sum_mobile,n_mobile,prop_mobile
1990,From SSA,EAP,218,16,0.073394495
1990,From SSA,ECA,218,102,0.467889908
1990,From SSA,LAC,218,1,0.004587156
1990,From SSA,MENA,218,8,0.036697248
1990,From SSA,NA,218,77,0.353211009
1990,From SSA,SSA,218,18,0.082568807
1991,From SSA,EAP,194,13,0.067010309
1991,From SSA,ECA,194,91,0.469072165
1991,From SSA,LAC,194,1,0.005154639
1991,From SSA,MENA,194,10,0.051546392
1991,From SSA,NA,194,68,0.350515464
1991,From SSA,SSA,194,19,0.097938144
1992,From SSA,EAP,221,15,0.067873303
1992,From SSA,ECA,221,108,0.488687783
1992,From SSA,LAC,221,1,0.004524887
1992,From SSA,MENA,221,13,0.058823529
1992,From SSA,NA,221,74,0.334841629
1992,From SSA,SSA,221,11,0.049773756
1993,From SSA,EAP,235,17,0.072340426
1993,From SSA,ECA,235,110,0.468085106
1993,From SSA,LAC,235,10,0.042553191
1993,From SSA,MENA,235,4,0.017021277
1993,From SSA,NA,235,87,0.370212766
1993,From SSA,SA,235,3,0.012765957
1993,From SSA,SSA,235,19,0.080851064
1994,From SSA,EAP,261,20,0.076628352
1994,From SSA,ECA,261,128,0.490421456
1994,From SSA,LAC,261,3,0.011494253
1994,From SSA,MENA,261,14,0.053639847
1994,From SSA,NA,261,97,0.37164751
1994,From SSA,SA,261,1,0.003831418
1994,From SSA,SSA,261,14,0.053639847
1995,From SSA,EAP,237,16,0.067510549
1995,From SSA,ECA,237,123,0.518987342
1995,From SSA,LAC,237,3,0.012658228
1995,From SSA,MENA,237,4,0.016877637
1995,From SSA,NA,237,79,0.333333333
1995,From SSA,SA,237,6,0.025316456
1995,From SSA,SSA,237,20,0.084388186
1996,From SSA,EAP,278,19,0.068345324
1996,From SSA,ECA,278,137,0.492805755
1996,From SSA,LAC,278,4,0.014388489
1996,From SSA,MENA,278,10,0.035971223
1996,From SSA,NA,278,91,0.327338129
1996,From SSA,SA,278,1,0.003597122
1996,From SSA,SSA,278,25,0.089928058
1997,From SSA,EAP,308,23,0.074675325
1997,From SSA,ECA,308,157,0.50974026
1997,From SSA,LAC,308,4,0.012987013
1997,From SSA,MENA,308,5,0.016233766
1997,From SSA,NA,308,84,0.272727273
1997,From SSA,SA,308,1,0.003246753
1997,From SSA,SSA,308,40,0.12987013
1998,From SSA,EAP,277,31,0.111913357
