from_id,to_id,n_scholars
163,11,3491
67,11,1295
179,11,1143
163,128,765
163,126,743
3,11,642
163,142,631
163,158,561
3,126,478
152,11,464
179,132,408
163,132,380
163,46,374
67,132,357
163,103,302
149,11,261
7,11,253
179,142,235
67,128,223
67,126,209
179,128,199
3,177,189
179,163,177
163,177,175
163,59,165
67,158,159
152,132,156
61,11,155
179,126,149
67,142,145
163,154,143
163,179,141
53,11,133
99,11,131
163,100,126
163,172,121
149,132,120
179,158,118
3,59,116
179,103,114
163,152,113
3,142,113
7,132,113
152,128,105
30,128,104
179,152,102
152,142,101
152,126,100
147,132,97
61,126,89
12,11,89
3,128,86
99,126,86
3,158,85
163,35,77
147,67,74
3,172,72
1,3,71
61,3,70
10,11,66
163,67,61
152,163,59
67,163,57
151,128,56
163,149,56
148,11,55
3,56,55
149,126,54
179,67,54
153,128,53
152,158,52
7,128,52
3,154,51
