pub_year,abbr_region,n_pub_region_year,n_first_pub_region_year,prop_first_pub_region_year,n_last_pub_region_year,prop_last_pub_region_year,n_both_pub_region_year,prop_both_pub_region_year
1990,EAP,58,22,0.379310345,26,0.448275862,3,0.051724138
1991,EAP,75,35,0.466666667,32,0.426666667,14,0.186666667
1992,EAP,98,42,0.428571429,31,0.316326531,13,0.132653061
1993,EAP,111,58,0.522522523,48,0.432432432,20,0.18018018
1994,EAP,116,50,0.431034483,39,0.336206897,12,0.103448276
1995,EAP,143,65,0.454545455,48,0.335664336,16,0.111888112
1996,EAP,176,82,0.465909091,62,0.352272727,25,0.142045455
1997,EAP,216,96,0.444444444,66,0.305555556,29,0.134259259
1998,EAP,301,134,0.445182724,115,0.382059801,39,0.129568106
1999,EAP,379,173,0.45646438,133,0.350923483,58,0.153034301
2000,EAP,418,206,0.492822967,152,0.363636364,64,0.153110048
2001,EAP,529,239,0.451795841,200,0.378071834,85,0.160680529
2002,EAP,645,310,0.480620155,226,0.350387597,92,0.142635659
2003,EAP,631,292,0.462757528,224,0.354992076,110,0.174326466
2004,EAP,839,374,0.445768772,291,0.346841478,145,0.172824791
2005,EAP,913,380,0.416210296,331,0.362541073,142,0.155531216
2006,EAP,1047,442,0.422158548,356,0.340019102,170,0.162368672
2007,EAP,1214,520,0.428336079,416,0.342668863,214,0.176276771
2008,EAP,1440,585,0.40625,492,0.341666667,240,0.166666667
2009,EAP,1663,642,0.386049308,544,0.327119663,257,0.154539988
2010,EAP,2011,758,0.376926902,642,0.319244157,297,0.147687718
2011,EAP,2334,878,0.376178235,676,0.289631534,336,0.143958869
2012,EAP,2591,977,0.377074489,777,0.299884215,401,0.154766499
2013,EAP,3282,1180,0.359536868,979,0.298293723,499,0.152041438
2014,EAP,3911,1408,0.360010228,1184,0.302735873,611,0.156226029
2015,EAP,4378,1661,0.379396985,1371,0.313156693,744,0.169940612
2016,EAP,5223,1871,0.358223243,1508,0.288722956,848,0.162358798
2017,EAP,5859,1997,0.340843147,1798,0.306878307,947,0.161631678
2018,EAP,6914,2431,0.351605438,2044,0.295632051,1149,0.166184553
2019,EAP,7685,2472,0.321665582,2288,0.297722837,1225,0.159401431
2020,EAP,9616,3062,0.318427621,2786,0.289725458,1483,0.15422213
2021,EAP,10594,3335,0.314800831,3034,0.286388522,1658,0.156503681
