pub_year,abbr_region,n_pub_region_year,n_first_pub_region_year,prop_first_pub_region_year,n_last_pub_region_year,prop_last_pub_region_year,n_both_pub_region_year,prop_both_pub_region_year
1990,EAP,66,37,0.560606061,35,0.53030303,17,0.257575758
1991,EAP,48,17,0.354166667,19,0.395833333,5,0.104166667
1992,EAP,66,33,0.5,26,0.393939394,7,0.106060606
1993,EAP,69,24,0.347826087,28,0.405797101,8,0.115942029
1994,EAP,91,50,0.549450549,39,0.428571429,17,0.186813187
1995,EAP,119,66,0.554621849,55,0.462184874,24,0.201680672
1996,EAP,145,58,0.4,67,0.462068966,20,0.137931034
1997,EAP,145,66,0.455172414,59,0.406896552,15,0.103448276
1998,EAP,193,90,0.466321244,87,0.450777202,26,0.134715026
1999,EAP,178,93,0.52247191,72,0.404494382,29,0.162921348
2000,EAP,239,109,0.456066946,95,0.39748954,45,0.188284519
2001,EAP,265,130,0.490566038,109,0.411320755,50,0.188679245
2002,EAP,284,137,0.482394366,113,0.397887324,44,0.154929577
2003,EAP,335,143,0.426865672,117,0.349253731,49,0.146268657
2004,EAP,399,183,0.458646617,151,0.378446115,77,0.192982456
2005,EAP,463,218,0.470842333,172,0.371490281,84,0.181425486
2006,EAP,585,261,0.446153846,188,0.321367521,89,0.152136752
2007,EAP,667,293,0.43928036,226,0.338830585,121,0.181409295
2008,EAP,866,378,0.436489607,313,0.361431871,138,0.159353349
2009,EAP,1014,397,0.391518738,349,0.34418146,147,0.144970414
2010,EAP,1185,490,0.41350211,432,0.364556962,207,0.174683544
2011,EAP,1550,627,0.404516129,587,0.378709677,288,0.185806452
2012,EAP,1747,723,0.413852318,584,0.33428735,300,0.171722954
2013,EAP,2314,961,0.415298185,817,0.35306828,413,0.178478825
2014,EAP,2833,1236,0.436286622,1045,0.368866926,548,0.193434522
2015,EAP,3177,1365,0.429650614,1124,0.353792886,599,0.18854265
2016,EAP,3929,1654,0.420972258,1332,0.339017562,690,0.175617205
2017,EAP,4640,1967,0.423922414,1514,0.326293103,710,0.153017241
2018,EAP,5642,2399,0.425203828,1797,0.318504077,854,0.151364764
2019,EAP,6632,2769,0.41752111,2142,0.322979493,1041,0.156966224
2020,EAP,8958,3718,0.415048002,2823,0.315137307,1366,0.152489395
2021,EAP,10217,3972,0.388763825,3163,0.309582069,1491,0.145933249
2022,EAP,10216,3825,0.374412686,3293,0.32233751,1485,0.145360219
2023,EAP,8778,3395,0.38676236,2836,0.323080428,1304,0.148553201
2024,EAP,3516,1345,0.382536974,1112,0.316268487,490,0.139362912
1990,ECA,420,260,0.619047619,163,0.388095238,80,0.19047619
1991,ECA,432,235,0.543981481,186,0.430555556,79,0.18287037
1992,ECA,505,299,0.592079208,229,0.453465347,109,0.215841584
1993,ECA,578,348,0.602076125,247,0.42733564,125,0.216262976
1994,ECA,678,393,0.579646018,288,0.424778761,143,0.210914454
1995,ECA,725,391,0.539310345,310,0.427586207,138,0.190344828
1996,ECA,871,469,0.538461538,345,0.396096441,147,0.168771527
1997,ECA,1002,559,0.557884232,428,0.427145709,199,0.198602794
1998,ECA,1054,587,0.556925996,424,0.40227704,187,0.177419355
1999,ECA,1228,687,0.559446254,513,0.417752443,259,0.210912052
2000,ECA,1343,750,0.558451229,514,0.382725242,264,0.196574832
2001,ECA,1515,823,0.543234323,609,0.401980198,301,0.198679868
2002,ECA,1765,986,0.558640227,710,0.402266289,375,0.212464589
2003,ECA,1976,1051,0.531882591,800,0.4048583,397,0.200910931
2004,ECA,2296,1300,0.566202091,934,0.406794425,532,0.231707317
2005,ECA,2598,1412,0.543494996,1049,0.403772132,582,0.224018476
2006,ECA,3205,1757,0.548205928,1233,0.384711388,722,0.225273011
2007,ECA,3484,1881,0.53989667,1376,0.394948335,783,0.224741676
2008,ECA,3856,2113,0.547977178,1479,0.383558091,852,0.220954357
2009,ECA,4554,2409,0.528985507,1706,0.374615722,967,0.212340799
2010,ECA,5101,2688,0.526955499,1955,0.383258185,1138,0.223093511
2011,ECA,5966,3127,0.524136775,2260,0.378813275,1318,0.220918538
2012,ECA,6630,3347,0.504826546,2473,0.373001508,1414,0.213273002
2013,ECA,7796,4069,0.521934325,2936,0.376603386,1731,0.222036942
2014,ECA,8912,4637,0.520309695,3401,0.381620287,2068,0.232046679
2015,ECA,9746,4957,0.508618921,3616,0.37102401,2153,0.220911143
2016,ECA,11134,5553,0.49874259,4150,0.372732172,2442,0.219328184
2017,ECA,12181,6055,0.497085625,4589,0.376734258,2660,0.218372876
2018,ECA,13589,6761,0.497534771,5094,0.374862021,3011,0.221576275
2019,ECA,15185,7360,0.484688838,5745,0.378333882,3385,0.222917353
2020,ECA,19533,9531,0.48794348,7369,0.377258998,4358,0.223109609
2021,ECA,21361,9996,0.46795562,7991,0.374092973,4562,0.213566781
2022,ECA,20648,9853,0.477189074,7992,0.387059279,4757,0.230385509
2023,ECA,18447,8919,0.483493251,7186,0.389548436,4192,0.227245623
2024,ECA,7181,3432,0.477927865,2821,0.392842223,1627,0.226570116
1990,LAC,11,2,0.181818182,4,0.363636364,0,0
1991,LAC,12,7,0.583333333,4,0.333333333,2,0.166666667
1992,LAC,15,7,0.466666667,6,0.4,2,0.133333333
1993,LAC,23,11,0.47826087,8,0.347826087,5,0.217391304
